locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"A Narayanapura, Mahadevapura",Bangalore,east,under_construction,Baiyappanahalli,yes,RMZ Infinity Old Madras Road,3.17,purple,4.05,yes,no,False,Singayyanapalya,0.67,3-6km,53,Krishnarajapuram,1.86,23.01,23,49,10,12.9912395,77.6897334,12.93,,Karnataka,2,2022-06-20,2022-07-04,high,Mahadevapura,place/suburb,Mahadevapura,2022,2022-04-13
Aarna Enclave,Bangalore,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,2022-06-28,2022-06-28,none,,,,2022,2022-04-13
"Abbiareddy Layout, Kaggadasapura",Bangalore,east,under_construction,Baiyappanahalli,yes,Bagmane Tech Park,1.68,purple,2.99,yes,no,False,Benniganahalli,1.94,0-3km,73,Krishnarajapuram,2.09,24.16,30,60,20,12.9819618,77.6784643,11.63,Kaggadasapura,Karnataka,1,2022-06-20,2022-06-20,high,Kaggadasapura,place/quarter,Kaggadasapura,2022,2022-04-13
Abbigere,Bangalore,north,none,Dasarahalli,yes,Peenya Industrial Area,4.47,green,3.87,no,no,True,Dasarahalli,3.87,3-6km,0,Chikka Banavara,2.52,23.6,7,7,2,13.0742739,77.5288653,11.78,Kammagondanahalli,Karnataka,3,2022-05-14,2022-06-27,high,Abbigere,place/quarter,Abbigere,2022,2022-04-13
"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",Bangalore,north,none,Peenya,no,Peenya Industrial Area,6.27,green,5.53,no,no,True,Peenya,5.53,6km+,5,Kodigehalli,2.47,20.96,27,34,7,13.0766407,77.5577315,11.21,Singapura,Karnataka,1,2022-05-17,2022-05-17,high,Vidyaranyapura,place/suburb,Vidyaranyapura,2022,2022-04-13
Adugodi,Bangalore,south,none,Lalbagh,yes,IBC Knowledge Park,1.44,green,3.14,no,no,True,BTM Layout,3.05,0-3km,101,Bangalore Cantonment,5.65,30.1,103,82,27,12.9440234,77.6088867,5.46,A Adugodi,Karnataka,2,2022-06-22,2022-06-27,high,Adugodi,place/quarter,Adugodi,2022,2022-04-13
Aduru,Bangalore,east,none,Baiyappanahalli,no,RMZ Infinity Old Madras Road,8.41,purple,9.23,no,no,True,Singayyanapalya,6.74,6km+,1,Channasandra,6.71,15.75,7,2,0,13.0559357,77.7051427,16.97,,Karnataka,1,2022-06-08,2022-06-08,high,Aduru,place/village,Aduru,2022,2022-04-13
"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,south,under_construction,Yelachenahalli,yes,Electronic City,3.89,green,8.71,yes,no,False,Singasandra,0.45,3-6km,31,Carmelaram,6.82,35.74,34,16,8,12.8810223,77.6490068,13.57,Bandepalya,Karnataka,3,2022-05-10,2022-07-06,high,Singasandra,place/quarter,Singasandra,2022,2022-04-13
Agrahara Layout,Bangalore,east,none,Indiranagar,yes,Embassy Golf Links,0.96,purple,2.93,no,no,True,Indiranagar,2.93,0-3km,123,Baiyyappanahalli Junction,4.06,27.67,42,52,36,12.954706,77.6506725,8.94,Konena Agrahara,Karnataka,1,2022-06-23,2022-06-23,high,SR Layout,place/neighbourhood,Agrahara Layout,2022,2022-04-13
"Ags Layout, Hebbal",Bangalore,north,none,Yeshwantpur,yes,Karle Town Centre,2.42,green,4.85,no,no,True,Yeshwantpur,4.85,0-3km,22,Hebbal,0.78,21.62,45,38,28,13.0382184,77.5919,7.2,Bengaluru,Karnataka,1,2022-05-27,2022-05-27,high,Hebbal,place/suburb,Hebbal,2022,2022-04-13
Airport Road,Bangalore,east,operational,Trinity,yes,Embassy Golf Links,3.08,purple,0.79,yes,yes,True,Trinity,0.79,3-6km,93,Bengaluru East,3.83,27.28,104,68,40,12.9668192,77.6206583,5.46,Agaram,Karnataka,1,2022-05-27,2022-05-27,low,HAL Old Airport Road,highway/primary,Airport Road,2022,2022-04-13
Akshayanagar,Bangalore,east,under_construction,Baiyappanahalli,yes,RMZ Infinity Old Madras Road,3.75,purple,4.62,yes,no,False,Krishnarajapura,2.26,3-6km,9,Krishnarajapuram,2.27,19.95,35,40,11,13.0195427,77.6831272,13.02,K Chennasandra,Karnataka,1,2022-06-12,2022-06-12,high,Akshaya Nagar,place/neighbourhood,Akshayanagar,2022,2022-04-13
"Ambedkar Colony, Yelahanka",Bangalore,north,none,Yeshwantpur,no,Karle Town Centre,6.58,green,9.97,no,no,True,Yeshwantpur,9.97,6km+,7,Yelahanka Junction,0.68,16.05,30,52,10,13.1006982,77.5963454,14.05,Yelahanka Old Town,Karnataka,1,2022-07-06,2022-07-06,high,Yelahanka,place/suburb,Yelahanka,2022,2022-04-13
Amrutahalli,Bangalore,north,none,Yeshwantpur,yes,Karle Town Centre,2.84,green,7.29,no,no,True,Yeshwantpur,7.29,0-3km,20,Kodigehalli,2.72,18.54,24,55,22,13.0662319,77.6007646,10.45,Amruthahalli,Karnataka,2,2022-05-14,2022-06-12,high,Amrutahalli,place/quarter,Amrutahalli,2022,2022-04-13
"Ananda Puram, Jeevan Bima Nagar",Bangalore,east,operational,Indiranagar,yes,Bagmane Tech Park,1.39,purple,2.29,yes,yes,True,Indiranagar,2.29,0-3km,77,Baiyyappanahalli Junction,2.66,26.1,51,85,43,12.9678074,77.6568367,9.32,Jeevan Bhimanagar,Karnataka,1,2022-05-06,2022-05-06,high,Jeevan Bhima Nagar,place/quarter,Jeevan Bima Nagar,2022,2022-04-13
Anantapura,Bangalore,north,none,Peenya,no,Karle Town Centre,9.32,green,9.87,no,no,True,Peenya,9.87,6km+,4,Yelahanka Junction,2.82,17.56,11,20,13,13.1150894,77.5679972,15.39,Doddabettahalli,Karnataka,2,2022-05-23,2022-06-04,high,Anantapura,place/neighbourhood,Anantapura,2022,2022-04-13
