listing_id,locality_name,zone,bhk,size,bathroom,floor_num,total_floors,size_per_bhk,bath_per_bhk,floor_ratio,is_tall_building,rent_per_sqft,locality_price_level,area_type,furnishing_status,tenant_preferred,point_of_contact,floor_band,rent,log_rent
LST101200,Dadar East,south,3,1053.0,3.0,3.0,3.0,351.0,1.0,1.0,0,140.07597340930676,10.933200243737723,Super Area,Semi-Furnished,Family,Contact Agent,low (1-3),147500.0,11.901583454762012
LST100250,Parel,south,1,390.0,1.0,4.0,12.0,390.0,1.0,0.3333333333333333,0,102.56410256410257,11.124955527722204,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,mid (4-10),40000.0,10.596634733096073
LST101774,Pali Hill,west,1,562.0,1.0,7.0,9.0,562.0,1.0,0.7777777777777778,0,16.90391459074733,11.152004614861006,Super Area,Unfurnished,Bachelors/Family,Contact Agent,mid (4-10),9500.0,9.159047077588632
LST104358,Bhakti Park,south,2,612.0,2.0,33.0,41.0,306.0,1.0,0.8048780487804879,1,24.50980392156863,11.201128874867234,Super Area,Semi-Furnished,Family,Contact Agent,high (11+),15000.0,9.615805480084347
LST101512,Goregaon East,north,2,695.0,3.0,32.0,46.0,347.5,1.5,0.6956521739130435,1,45.32374100719424,11.005324871947899,Carpet Area,Unfurnished,Family,Contact Owner,high (11+),31500.0,10.357742824813725
LST101637,Hindu Colony,south,3,1511.0,3.0,7.0,30.0,503.6666666666667,1.0,0.23333333333333334,1,125.41363335539378,11.068365793639552,Super Area,Unfurnished,Family,Contact Agent,mid (4-10),189500.0,12.152144303504619
LST103993,Balkrishna Dadu Karade Chowk,south,2,753.0,1.0,15.0,28.0,376.5,0.5,0.5357142857142857,1,23.240371845949536,11.032262240163856,Carpet Area,Semi-Furnished,Bachelors,Contact Agent,high (11+),17500.0,9.769956159911606
LST103008,Bhandup East,east,1,553.0,1.0,18.0,29.0,553.0,1.0,0.6206896551724138,1,103.97830018083182,10.80190303849778,Carpet Area,Semi-Furnished,Bachelors,Contact Agent,high (11+),57500.0,10.959540226785442
LST101165,Hiranandani Gardens,east,1,603.0,2.0,16.0,20.0,603.0,2.0,0.8,1,75.45605306799337,10.985276050143012,Carpet Area,Semi-Furnished,Bachelors,Contact Owner,high (11+),45500.0,10.725467604939041
LST100622,JVPD Scheme,west,4,2500.0,4.0,2.0,10.0,625.0,1.0,0.2,0,100.0,11.541702217449437,Carpet Area,Furnished,Bachelors/Family,Contact Agent,low (1-3),250000.0,12.429216196844383
LST101663,Dr Babasaheb Ambedkar Road,south,3,1454.0,4.0,26.0,45.0,484.6666666666667,1.3333333333333333,0.5777777777777777,1,71.8707015130674,10.91231576109107,Super Area,Furnished,Bachelors,Contact Agent,high (11+),104500.0,11.556942350387002
LST103042,Nalasopara,north,2,578.0,1.0,15.0,23.0,289.0,0.5,0.6521739130434783,1,64.01384083044982,10.506553408931843,Super Area,Semi-Furnished,Family,Contact Owner,high (11+),37000.0,10.51867319162636
LST103868,Vile Parle,west,2,599.0,3.0,8.0,27.0,299.5,1.5,0.2962962962962963,1,171.11853088480802,10.721176347403379,Super Area,Furnished,Bachelors,Contact Owner,mid (4-10),102500.0,11.5376180775606
LST104073,Gokuldham,north,3,1180.0,3.0,2.0,2.0,393.3333333333333,1.0,1.0,0,176.62429858991135,10.854843817874576,Carpet Area,Semi-Furnished,Family,Contact Agent,low (1-3),222000.0,12.310432660854417
LST103209,Beverly Park,north,3,1786.0,2.0,7.0,16.0,595.3333333333334,0.6666666666666666,0.4375,0,103.86338185890257,10.64654847350029,Super Area,Furnished,Bachelors,Contact Agent,mid (4-10),185500.0,12.130810161029627
LST104923,Agarkar Chowk,west,1,401.0,1.0,14.0,20.0,401.0,1.0,0.7,1,59.85037406483791,11.358226122754958,Super Area,Semi-Furnished,Family,Contact Agent,high (11+),24000.0,10.085809109330082
LST100318,JVPD Scheme,west,4,2800.0,4.0,2.0,9.0,700.0,1.0,0.2222222222222222,0,100.0,11.541702217449437,Carpet Area,Furnished,Family,Contact Agent,low (1-3),280000.0,12.542544882151386
LST104103,Unknown,unknown,2,1169.0,1.0,14.0,68.0,584.5,0.5,0.20588235294117646,1,50.042771599657826,10.80676083612417,Super Area,Furnished,Bachelors,Contact Agent,high (11+),58500.0,10.976782033219948
