listing_id,city,locality_name,address,bhk,rent,size,area_type,floor_num,total_floors,bathroom,furnishing_status,tenant_preferred,point_of_contact
LST101200,Mumbai,Dadar East,Dadar East,3,147500.0,1053.0,Super Area,3.0,3.0,3.0,Semi-Furnished,Family,Contact Agent
LST100250,Mumbai,Parel,Parel,1,40000.0,390.0,Carpet Area,4.0,12.0,1.0,Unfurnished,Bachelors/Family,Contact Agent
LST101774,Mumbai,Pali Hill,"Green Gate Apartment, Pali Hill",1,9500.0,562.0,Super Area,7.0,9.0,1.0,Unfurnished,Bachelors/Family,Contact Agent
LST104358,Mumbai,Bhakti Park,"Ajmera Treon, Bhakti Park",2,15000.0,612.0,Super Area,33.0,41.0,2.0,Semi-Furnished,Family,Contact Agent
LST101512,Mumbai,Goregaon East,"Royal Palms, Goregaon East",2,31500.0,695.0,Carpet Area,32.0,46.0,3.0,Unfurnished,Family,Contact Owner
LST101637,Mumbai,Hindu Colony,Hindu Colony,3,189500.0,1511.0,Super Area,7.0,30.0,3.0,Unfurnished,Family,Contact Agent
LST103993,Mumbai,Balkrishna Dadu Karade Chowk,"Celestia Spaces, Balkrishna Dadu Karade Chowk",2,17500.0,753.0,Carpet Area,15.0,28.0,1.0,Semi-Furnished,Bachelors,Contact Agent
LST103008,Mumbai,Bhandup East,"White Lily Apartment, Bhandup East",1,57500.0,553.0,Carpet Area,18.0,29.0,1.0,Semi-Furnished,Bachelors,Contact Agent
LST101165,Mumbai,Hiranandani Gardens,"Hiranandani Castle Rock, Hiranandani Gardens",1,45500.0,603.0,Carpet Area,16.0,20.0,2.0,Semi-Furnished,Bachelors,Contact Owner
LST100622,Mumbai,JVPD Scheme,JVPD Scheme,4,250000.0,2500.0,Carpet Area,2.0,10.0,4.0,Furnished,Bachelors/Family,Contact Agent
LST101663,Mumbai,Dr Babasaheb Ambedkar Road,"Dr Babasaheb Ambedkar Road, Mumbai",3,104500.0,1454.0,Super Area,26.0,45.0,4.0,Furnished,Bachelors,Contact Agent
LST103042,Mumbai,Nalasopara,"Deep Heights, Nalasopara",2,37000.0,578.0,Super Area,15.0,23.0,1.0,Semi-Furnished,Family,Contact Owner
LST103868,Mumbai,Vile Parle,Vile Parle,2,102500.0,599.0,Super Area,8.0,27.0,3.0,Furnished,Bachelors,Contact Owner
LST104073,Mumbai,Gokuldham,"Raheja Heights Phase 2, Gokuldham",3,222000.0,1180.0,Carpet Area,2.0,2.0,3.0,Semi-Furnished,Family,Contact Agent
LST103209,Mumbai,Beverly Park,Beverly Park,3,185500.0,1786.0,Super Area,7.0,16.0,2.0,Furnished,Bachelors,Contact Agent
LST104923,Mumbai,Agarkar Chowk,"Oberoi Prisma, Agarkar Chowk",1,24000.0,401.0,Super Area,14.0,20.0,1.0,Semi-Furnished,Family,Contact Agent
LST100318,Mumbai,JVPD Scheme,JVPD Scheme,4,280000.0,2800.0,Carpet Area,2.0,9.0,4.0,Furnished,Family,Contact Agent
LST104103,Mumbai,Unknown,Mumbai Central,2,58500.0,1169.0,Super Area,14.0,68.0,1.0,Furnished,Bachelors,Contact Agent
LST104603,Mumbai,Dadar West,"Sugee Sadan, Dadar West",1,19500.0,479.0,Carpet Area,16.0,25.0,1.0,Furnished,Family,Contact Agent
LST104505,Mumbai,Bhayandar East,Bhayandar East,2,39000.0,819.0,Carpet Area,5.0,12.0,3.0,Furnished,Bachelors/Family,Contact Agent
