locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof,address
Chembur East,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.56,blue,5.74,yes,no,False,Shivaji Chowk (Chembur),1.79,3-6km,4.0,Bharat Petroleum,0.17,6.83,12.0,27.0,7.0,19.0366683,72.8947992,12.55,M/E Ward,Maharashtra,1,5/31/2022,5/31/2022,low,Brainwonders Chembur,healthcare/counselling,Chembur East,2022,4/13/2022,"117 Residency, Chembur East"
Seven Bungalows,Mumbai,west,operational,Versova,yes,SEEPZ Andheri East,3.78,blue,0.05,yes,yes,True,Versova,0.05,3-6km,9.0,Andheri,2.86,6.2,27.0,57.0,18.0,19.1297617,72.8213781,21.29,K/W Ward,Maharashtra,3,7/9/2022,7/9/2022,high,Seven Bungalows,place/neighbourhood,Seven Bungalows,2022,4/13/2022,"7 Bungalow, Seven Bungalows"
7 Bungalows Andheri West,Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,2.62,yellow,1.31,yes,yes,True,Lower Oshiwara,0.16,0-3km,13.0,Jogeshwari (Harbour Line),1.7,6.44,34.0,75.0,22.0,19.1408374,72.8332241,22.47,K/W Ward,Maharashtra,1,7/6/2022,7/6/2022,low,Nissan,shop/car,7 Bungalows Andheri West,2022,4/13/2022,7 Bungalows Andheri West
90 ft road,Mumbai,east,none,Magathane,no,Mindspace Airoli,12.51,red,24.87,no,no,True,Azad Nagar Bus Stop,13.08,6km+,1.0,Thakurli,0.88,29.14,13.0,55.0,2.0,19.2203974,73.1036411,42.13,Thakurli,Maharashtra,1,7/6/2022,7/6/2022,low,90ft Road,highway/secondary,90 ft road,2022,4/13/2022,90 ft road
Kandivali West,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.4,yellow,0.54,yes,yes,True,Dahanukarwadi,0.54,0-3km,1.0,Kandivali,1.25,13.05,25.0,98.0,10.0,19.2055321,72.8399273,29.66,R/S Ward,Maharashtra,1,6/15/2022,6/15/2022,high,Kandivali West,place/suburb,Kandivali West,2022,4/13/2022,"Acme Avenue, Kandivali West"
4 Bunglows,Mumbai,east,none,Poisar,yes,Wagle Estate Thane,2.65,red,11.42,no,no,True,Azad Nagar Bus Stop,6.64,0-3km,13.0,Thane,0.81,15.18,30.0,118.0,13.0,19.1823295,72.9694662,30.53,Kopri,Maharashtra,1,7/6/2022,7/6/2022,medium,Twelve Bunglows,highway/bus_stop,4 Bunglows,2022,4/13/2022,"Adani Western Heights, 4 Bunglows"
Andheri West,Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,True,Azad Nagar,1.14,0-3km,13.0,Andheri,1.34,4.28,33.0,91.0,15.0,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,3,5/31/2022,7/7/2022,high,Andheri West,place/suburb,Andheri West,2022,4/13/2022,"Adani Western Heights, Andheri West"
Raheja Vihar,Mumbai,east,operational,Saki Naka,yes,Hiranandani Business Park Powai,1.66,blue,1.89,yes,yes,True,Aarey JVLR,1.69,0-3km,18.0,Vikhroli,3.56,4.68,10.0,25.0,16.0,19.1191663,72.8951234,21.02,L Ward,Maharashtra,1,6/23/2022,6/23/2022,medium,Raheja Vihar Circular Road,landuse/residential,Raheja Vihar,2022,4/13/2022,"Adityavardhan Apartment, Raheja Vihar"
Agripada,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.16,blue,15.18,yes,no,False,Mahalaxmi,0.49,3-6km,1.0,Byculla,0.83,13.4,55.0,66.0,7.0,18.97504,72.8250555,4.17,E Ward,Maharashtra,1,5/27/2022,5/27/2022,high,Agripada,place/neighbourhood,Agripada,2022,4/13/2022,Agripada
Mindspace,Mumbai,north,none,Kandarpada,no,Mindspace Malad,30.36,yellow,22.52,no,no,True,Kashigaon,21.13,6km+,0.0,Virar,0.3,41.0,3.0,36.0,6.0,19.4553807,72.8089778,57.51,Virar West,Maharashtra,1,7/7/2022,7/7/2022,low,"Jain Mandir Road,Ahimsa Marg",highway/residential,Ahimsa Marg Mindspace,2022,4/13/2022,"Ahimsa Marg, Mindspace"
Indralok,Mumbai,north,none,Anand Nagar,no,Mindspace Malad,13.55,yellow,5.03,no,no,True,Kashigaon,2.76,6km+,0.0,Bhayandar,2.44,23.57,7.0,29.0,2.0,19.3018253,72.8741489,40.57,Ghodbunder,Maharashtra,1,5/17/2022,5/17/2022,low,Aims Sea View Co-operative Housing Society,building/yes,Aims Sea View Indralok,2022,4/13/2022,"Aims Sea View, Indralok"
Bhakti Park,Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.2,no,no,True,Chembur,3.23,3-6km,4.0,Bhakti Park,0.24,7.14,5.0,8.0,0.0,19.0278681,72.8795682,10.94,M/W Ward,Maharashtra,7,5/27/2022,7/9/2022,high,Bhakti Park,place/neighbourhood,Bhakti Park,2022,4/13/2022,"Ajmera Bhakti Park, Bhakti Park"
Marol,Mumbai,east,operational,Airport Road,yes,MIDC Andheri East,0.53,blue,0.6,yes,yes,True,MIDC - Andheri,0.53,0-3km,21.0,Andheri,3.33,3.11,13.0,46.0,5.0,19.1144347,72.8776145,20.03,K/E Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Marol Village,place/neighbourhood,Marol,2022,4/13/2022,"Akruti Aneri, Marol"
Sakinaka Junction,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,2,6/13/2022,6/14/2022,none,,,,2022,4/13/2022,"Akruti Orchid Park, Sakinaka Junction"
Turner Road,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.75,blue,6.99,yes,no,False,Dharavi,2.29,3-6km,7.0,Bandra,0.96,4.9,44.0,54.0,8.0,19.0575631,72.8314731,13.21,Bandra West,Maharashtra,1,6/3/2022,6/3/2022,low,Almeida Park,leisure/park,Almeida Park Turner Road,2022,4/13/2022,"Almeida Park, Turner Road"
Kandivali East,Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.63,red,1.24,yes,yes,True,Magathane,1.24,3-6km,0.0,Kandivali,2.62,13.36,5.0,24.0,7.0,19.2097189,72.8759248,30.42,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Thakur Village,place/suburb,Thakur Village,2022,4/13/2022,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East"
Pathanwadi,Mumbai,north,operational,Dindoshi,yes,Mindspace Malad,2.28,red,0.43,yes,yes,True,Dindoshi,0.43,0-3km,3.0,Malad,1.66,9.94,16.0,76.0,6.0,19.1795154,72.8623967,26.92,P/N Ward,Maharashtra,1,5/31/2022,5/31/2022,high,Pathanwadi,place/locality,Pathanwadi,2022,4/13/2022,"Alta Monte, Pathanwadi"
Altamount Road,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.46,blue,17.2,yes,no,False,Grant Road,1.08,3-6km,1.0,Grant Road,0.85,15.14,51.0,63.0,5.0,18.9643815,72.807864,4.06,D Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Altamount Road (S K Barodawala Marg),highway/tertiary,Altamount Road,2022,4/13/2022,Altamount Road
Chembur,Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.65,blue,3.7,yes,no,False,Diamond Garden,0.53,3-6km,5.0,VNP & RC Marg Junction,0.46,5.39,32.0,81.0,13.0,19.054818,72.8979713,14.48,M/W Ward,Maharashtra,2,5/22/2022,5/22/2022,high,Chembur,place/suburb,Chembur,2022,4/13/2022,"Altavista, Chembur"
Sion Trombay Road,Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,5.29,blue,4.56,yes,no,False,Shivaji Chowk (Chembur),0.46,3-6km,4.0,Govandi,1.16,7.04,33.0,54.0,15.0,19.0457837,72.9106688,14.29,M/E Ward,Maharashtra,1,5/13/2022,5/13/2022,low,Sion Panvel Highway,highway/trunk,Altavista Sion Trombay Road,2022,4/13/2022,"Altavista, Sion Trombay Road"
Amar Nagar,Mumbai,east,none,Aarey,yes,Wagle Estate Thane,3.89,red,7.74,no,no,True,Aarey JVLR,6.57,3-6km,3.0,Nahur,2.12,11.35,33.0,36.0,6.0,19.1682298,72.9324791,27.48,T Ward,Maharashtra,1,7/4/2022,7/4/2022,high,Amar Nagar,place/neighbourhood,Amar Nagar,2022,4/13/2022,Amar Nagar
Ghatkopar,Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,2.53,blue,1.14,yes,yes,True,Ghatkopar L1,1.14,0-3km,11.0,Ghatkopar,1.09,5.89,9.0,81.0,5.0,19.0842323,72.918635,18.39,N Ward,Maharashtra,1,5/15/2022,5/15/2022,high,Ghatkopar,place/suburb,Ghatkopar,2022,4/13/2022,"Ambika Siddhi Apartment, Ghatkopar"
Borivali East,Mumbai,north,operational,Devipada,yes,Mindspace Malad,5.22,red,0.39,yes,yes,True,Devipada,0.39,3-6km,0.0,Borivali,0.55,15.19,8.0,106.0,14.0,19.2267228,72.8619328,32.14,R/C Ward,Maharashtra,1,6/12/2022,6/12/2022,high,Borivali East,place/suburb,Borivali East,2022,4/13/2022,"Ambrosia Apartment, Borivali East"
Anand niwas,Mumbai,east,none,Ghatkopar L1,yes,Mindspace Airoli,3.42,blue,16.32,no,no,True,Azad Nagar Bus Stop,7.76,3-6km,9.0,Mumbra,0.63,19.9,2.0,5.0,0.0,19.1843187,73.0240401,33.74,Mumbra,Maharashtra,1,7/9/2022,7/9/2022,low,devki niwas,building/yes,Anand niwas,2022,4/13/2022,Anand niwas
Mahavir Nagar,Mumbai,north,operational,Kandivali (West),yes,Mindspace Malad,3.46,yellow,0.12,yes,yes,True,Kandivali (West),0.12,3-6km,0.0,Kandivali,1.89,14.13,25.0,74.0,8.0,19.2149882,72.8378643,30.71,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Mahavir Nagar,place/quarter,Mahavir Nagar,2022,4/13/2022,"Anant Bhoomi, Mahavir Nagar"
Andheri East,Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,0.0,blue,0.23,yes,yes,True,Gundavali,0.18,0-3km,15.0,Andheri,0.92,3.0,36.0,92.0,5.0,19.1158835,72.854202,19.79,K/E Ward,Maharashtra,7,4/29/2022,7/7/2022,high,Andheri East,place/suburb,Andheri East,2022,4/13/2022,Andheri East
